title,author,publisher,publish_date,original_price,sale_price
당신은 반드시 성공할 것이다,나폴레온 힐 저/김현정 역,토네이도,2024년 01월 22일,"19,800원","17,820"
크리스천 경영인과 직장인,조영준 저,나침반사,2024년 02월 01일,"18,000원","17,100"
구약의 숲 2,권지성 저,대장간,2024년 01월 20일,"14,000원","12,600"
엄마도 영어 공부 할 거야!,정선미 저,좋은땅,2024년 01월 05일,"16,800원","15,120"
위국일기 10,야마시타 토모코 글그림,대원,2024년 01월 18일,"5,500원","4,950"
SAP Fiori & OData Full Stack Guide for RAP,유균 저,BOOKK(부크크),2024년 01월 18일,"26,000원","26,000"
에그박사 채집일기 1-4 권 세트,에그박사,미래엔아이세움(전집),2023년 06월 06일,"52,500원","47,250"
[그래제본소] 보물찾기 + 보물 기록 떡 메모지,슬로우어스 글그림,고래뱃속,2024년 02월 19일,"17,000원","15,400"
최근 고용한 메이드가 수상하다 7,콘부 와카메 글그림,대원,2024년 01월 18일,"6,000원","5,400"
시작된 일,박이수 저,걷는사람,2024년 01월 17일,"16,000원","14,400"
철야의 노래 17,코토야마 글그림,대원,2024년 01월 18일,"5,500원","4,950"
코믹 책벌레의 하극상 제4부 1,카즈키 미야 원저/스즈카 글그림,대원,2024년 01월 18일,"6,000원","5,400"
쇼하쇼텐! 3,아사쿠라 아키나리 원저/오바타 타케시 글그림,대원,2024년 01월 18일,"6,000원","5,400"
유모씨 글집합,생각지기 유모씨 저,BOOKK(부크크),2024년 01월 05일,"20,000원","20,000"
오늘,김영 저,BOOKK(부크크),2024년 01월 02일,"19,500원","19,500"
빅토리아 위너 오스트웬 왕비는 세상에서 제일 거만하다 3,쿠라게자키 마츠리 원저/신죠 하지메 글그림,대원,2024년 01월 18일,"6,000원","5,400"
영혼의 무지개를 찾아서,홍만식 저,BOOKK(부크크),2023년 12월 28일,"12,400원","12,400"
메이저(MAJOR) 2nd 26,미츠다 타쿠야 글그림,대원,2024년 01월 18일,"5,500원","4,950"
엑스포 아카이브 1,"장순규, 권민지, 이한나 저",BOOKK(부크크),2024년 01월 20일,"14,000원","14,000"
페더럴리스트 페이퍼스 새 번역판,알렉산더 해밀턴 저/김동영 역,한울아카데미,2024년 01월 22일,"49,800원","49,800"
신비스런 아트세계모습을 표현하는 작품사례모음집,편집부 저,워크디자인북,2024년 04월 20일,"99,900원","99,900"
어쩌다 그림책 작가,지수경 저,BOOKK(부크크),2023년 12월 30일,"8,000원","8,000"
개발자를 위한 최소한의 실무 지식,"김현정, 이재효 저",한빛미디어,2024년 01월 23일,"26,000원","23,400"
선생님은 캘리김여사,캘리김여사 저,BOOKK(부크크),2023년 12월 25일,"16,500원","16,500"
무한의 계단 세계여행 GO 1. 이탈리아,김강현 글/김기수 그림/김준우 감수,서울문화사,2024년 01월 30일,"14,000원","12,600"
비뚤어진 내가 빚은 고통받는 세상,이승천 저,BOOKK(부크크),2023년 12월 28일,"12,400원","12,400"
도망을 잘 치는 도련님 11,마츠이 유세이 글그림,대원,2024년 01월 18일,"6,000원","5,400"
부딪히며 아파하고 사랑하며 함께 가는 길,김서영 저,BOOKK(부크크),2024년 01월 10일,"18,600원","18,600"
變態 변태,채몽 저,BOOKK(부크크),2024년 01월 04일,"5,800원","5,800"
니시오기쿠보 3성 양주당 2,Sai Asai 글그림,대원,2024년 01월 18일,"6,000원","5,400"
난공불락의 마왕성에 어서 오세요 7,미타카 호즈미 원저/유미토리 아오이 글/카이도 j1 그림,대원,2024년 01월 18일,"5,500원","4,950"
평화직설,태종호 저,한누리미디어,2024년 01월 02일,"18,000원","17,100"
방황의 기록,유대칠 저,BOOKK(부크크),2024년 01월 08일,"24,800원","24,800"
묵상,유대칠 저,BOOKK(부크크),2024년 01월 08일,"10,000원","10,000"
"[무지개] NEW EQ의 천재들 (전115종)_2023년 개정 증보판, 세이펜 호환/별매",편집부 저,도서출판 무지개(전집),2024년 01월 17일,"328,000원","295,200"
고양이 파트너 마루루와 하치 3,소노다 유리 글그림,미우(대원),2024년 01월 18일,"9,000원","8,100"
무경계 기획자,한희 저,BOOKK(부크크),2024년 01월 04일,"18,300원","18,300"
메트로놈,김유화 저,BOOKK(부크크),2023년 12월 29일,"5,900원","5,900"
메뉴관리의 이해,나정기 저,백산출판사,2024년 01월 30일,"31,000원","31,000"
"마흔 , 그 중심에 서다",양진희 저,BOOKK(부크크),2023년 12월 29일,"10,000원","10,000"
당신이 웃을 때 나는 죽고 싶었다,한새길 저,BOOKK(부크크),2023년 12월 27일,"15,700원","15,700"
와인양조학,"김준철, 이선희, 민혜련, 이동승 저",백산출판사,2024년 01월 10일,"40,000원","40,000"
노선 밖의 이야기,"김지수, 박소연, 이효진, 지은결, 천지영 저",BOOKK(부크크),2024년 01월 13일,"12,100원","12,100"
한-인도해운·항만산업협력방안연구,전형진 등저,한국문화관광연구원,2023년 12월 29일,"10,000원","10,000"
내가 보이는 곳,물고기는 글을 쓰지 않아 저,BOOKK(부크크),2023년 12월 29일,"8,000원","8,000"
관광안전관리정책진단및발전방안연구,"조아라, 김현주, 이성빈 공저",한국문화관광연구원,2023년 12월 28일,"16,000원","16,000"
문화·관광산업의정부재정사업성과평가방법연구,김형종 등저,한국문화관광연구원,2023년 12월 28일,"12,000원","12,000"
내 삶에 고전꽃이 피었습니다.,김인교 저,BOOKK(부크크),2024년 01월 02일,"13,000원","13,000"
문화예술분야보조사업경제효과추정방안연구,"김혜인, 박근화, 노수경 공저",한국문화관광연구원,2023년 12월 28일,"16,000원","16,000"
지역관광산업생태계진단과정책방향,"김윤영, 정광민, 전효재, 김재호, 김상혁 공저",한국문화관광연구원,2023년 12월 28일,"16,000원","16,000"
내 마음의 풍경,"신수연, 서수영, 아영, 미미, 민트초코, 꽃마리쌤 저",BOOKK(부크크),2023년 12월 29일,"11,600원","11,600"
콘텐츠산업트렌드2028,"박찬욱, 채지영, 양지훈, 홍무궁 공저",한국문화관광연구원,2023년 12월 28일,"14,000원","14,000"
우당탕탕 시간 여행,김선율 등저,책쓰는밤,2024년 01월 06일,"18,000원","18,000"
지속가능한문화매력국가를위한국가문화지수개발연구,"양혜원, 김면, 김소연 공저",한국문화관광연구원,2023년 12월 28일,"14,000원","14,000"
낙타의 노래,박종찬 저,BOOKK(부크크),2024년 01월 08일,"19,000원","19,000"
지역관광조직현황진단과발전방안,"김동현, 전효재 공저",한국문화관광연구원,2023년 12월 28일,"10,000원","10,000"
나의 튜토리얼 회고록,"오소영, 이미현, 이혜람, 정유리, 천성혁 저",BOOKK(부크크),2024년 01월 05일,"10,900원","10,900"
한국공연관광산업화를위한정책지원방안,"유지윤, 최자은 공저",한국문화관광연구원,2023년 11월 17일,"11,000원","11,000"
내 그림 찾기,김다영 글그림,BOOKK(부크크),2024년 01월 08일,"12,700원","12,700"
나는 오늘도 산에 간다,김순영 저,BOOKK(부크크),2024년 01월 02일,"16,000원","16,000"
2024 HOW TO PASS 동형 모의고사,이경범 편저,씨엘웍스,2024년 01월 18일,"20,000원","19,000"
꾸러기 수비대의 일상,조옥화 저,BOOKK(부크크),2024년 01월 05일,"12,000원","12,000"
군대에서 자기계발하기,이태화 저,BOOKK(부크크),2024년 01월 09일,"13,900원","13,900"
나이스 공룡 컬러링북,인영코치 글그림,BOOKK(부크크),2024년 01월 09일,"12,100원","12,100"
주니어김영사 NEW서울대 선정 인문고전 최신개정판 세트[전60권],주니어김영사편집부,주니어김영사(전집),2023년 09월 22일,"720,000원","648,000"
기획성경 쉬운말 일러스트 성경 (찬송가없음/소/색인/무지퍼/쉬운말버전/판다블루),성서원 쉬운말성경 편찬위원회 저/민영진 감수,성서원,2024년 01월 17일,"22,000원","20,900"
한라 아리랑,홍영길 저,BOOKK(부크크),2024년 01월 09일,"20,000원","20,000"
젊어서 고생하며 배운 것들 45가지,배우는 시인 저,BOOKK(부크크),2023년 12월 04일,"8,000원","8,000"
기획성경 쉬운말 일러스트 성경 (찬송가없음/소/색인/무지퍼/쉬운말버전/판다옐로우),성서원 쉬운말성경 편찬위원회 저/민영진 감수,성서원,2024년 01월 17일,"22,000원","20,900"
이틀 내내 눈이 온다는 서울에는 당신이 있다,이용빈 저,BOOKK(부크크),2024년 01월 10일,"10,000원","10,000"
여름에 내리는 눈,강의정 저,BOOKK(부크크),2024년 01월 04일,"11,000원","11,000"
안녕을 위한 안녕,단일 저,BOOKK(부크크),2023년 12월 29일,"10,000원","10,000"
사람은 사랑을,강민희 저,BOOKK(부크크),2023년 12월 05일,"8,900원","8,900"
행정법,김남철 저,정독,2024년 02월 01일,"38,000원","38,000"
성서원 쉬운말 일러스트 성경 (찬송가없음/소/색인/무지퍼/쉬운말버전/라마 블루),성서원 쉬운말성경 편찬위원회 저/민영진 감수,성서원,2024년 01월 17일,"25,000원","23,750"
사라지는 별은 언제 사라질까,이시우 저,BOOKK(부크크),2023년 12월 31일,"8,900원","8,900"
멍숭이의 일상일기,노란추억 저,BOOKK(부크크),2024년 01월 02일,"12,700원","12,700"
성서원 쉬운말 일러스트 성경 (찬송가없음/소/색인/무지퍼/쉬운말버전/라마 옐로우),성서원 쉬운말성경 편찬위원회 저/민영진 감수,성서원,2024년 01월 17일,"25,000원","23,750"
"마흔 , 그 중심에 서다 (컬러판)",양진희 저,BOOKK(부크크),2024년 01월 04일,"10,800원","10,800"
비밀번호 2366,2023학년도 인천송명초 육육이들 글,BOOKK(부크크),2024년 01월 05일,"13,800원","13,800"
돌아오지 않는 청춘의 아픔으로,임설화 저,BOOKK(부크크),2024년 01월 05일,"18,500원","18,500"
자연을 꿈꾸는 꼬마작가들,행복나눔 3-7반 글,BOOKK(부크크),2024년 01월 02일,"12,100원","12,100"
"퇴근 후, 수채화 꽃 그림",봄하루 저,리얼북스,2024년 01월 15일,"15,000원","13,500"
내가 너의 손을 잡아 줄게,선다온 저,BOOKK(부크크),2024년 01월 04일,"9,800원","9,800"
AI와 함께하는 세상,허니소프트협동조합 저,BOOKK(부크크),2024년 01월 14일,"16,900원","16,900"
한훤당 김굉필은 어떻게 ‘도학지종道學之宗’이 되었는가?,신태수 저,지성인,2024년 01월 08일,"22,000원","19,800"
내가 너를 좋아하는 만큼 네가 행복했으면 좋겠다,아공 저,BOOKK(부크크),2024년 01월 09일,"12,900원","12,900"
낭만 결핍,신채경 저,BOOKK(부크크),2024년 01월 02일,"8,000원","8,000"
나의 경우엔 이혼이라기보다 독립,이찬란 저,BOOKK(부크크),2023년 12월 29일,"16,000원","16,000"
그 마음을 원해요,한사랑 저,BOOKK(부크크),2023년 12월 29일,"7,600원","7,600"
겨울과 사랑의 한 끗 차이,박현지 저,BOOKK(부크크),2024년 01월 05일,"14,300원","14,300"
"코끼리야, 어디 사니?",윤성희 그림,블루래빗,2022년 08월 15일,"14,000원","12,600"
우리는 동역자입니다,임용우 저,두란노,2024년 01월 17일,"17,000원","16,150"
돈은 어떻게 움직이는가?,"임경, 권준석 저",생각비행,2024년 01월 22일,"35,000원","31,500"
속눈썹 연장 가이드북,김민정 저,BOOKK(부크크),2024년 01월 15일,"17,200원","17,200"
문해력 미로에서 탈출하라!,이기규 글/김창호 그림,파란정원,2024년 01월 17일,"13,000원","11,700"
네 이름엔 파도가 치네,김도연 저,BOOKK(부크크),2023년 12월 26일,"7,000원","7,000"
내 미소가 네 애칭이 됐고,박민규 저,BOOKK(부크크),2023년 12월 27일,"11,000원","11,000"
울며 씨 뿌리는 자,김이삭 저,문학공감,2024년 01월 19일,"17,000원","15,300"
통기타 노래강좌 시리즈 3,기타캠프 저,기타캠프,2024년 01월 17일,"18,000원","16,200"
성경 순례,허영엽 저,가톨릭출판사,2024년 01월 25일,"22,000원","20,900"
통계로 미리 보는 핵심 키워드 7,뉴시스 경제부 저,원앤원북스,2024년 02월 01일,"21,000원","18,900"
2024 법원직 W 지문연습 형법,문형석 편저,윌비스,2024년 01월 24일,"44,000원","39,600"
서울대 선정 한국문학고전 학습만화 베스트32 [전32권],재우리편집부,채우리,2024년 01월 17일,"416,000원","374,400"
그들은 아우구스티누스에 대해 무엇을 말하는가,조셉 켈리 저/안기민 역,가톨릭출판사,2024년 01월 19일,"30,000원","28,500"
통기타 노래강좌 시리즈 2,기타캠프 저,기타캠프,2024년 01월 16일,"18,000원","16,200"
떴다! 지구별 환경 수호대,이초아 글/김정진 그림,가문비,2024년 01월 22일,"11,500원","10,350"
신소재 화공계열을 위한 공학수학,"정연구, 이재원 저",북스힐,2024년 01월 10일,"30,000원","30,000"
Do it! 시뮬레이터+키트로 완성하는 아두이노 입문,박필준 저,이지스퍼블리싱,2024년 01월 25일,"25,500원","22,950"
셋셋 2024,"송지영, 성수진, 정회웅, 이열매, 이지혜 저 외 1명 정보 더 보기/감추기",한겨레출판,2024년 01월 31일,"11,000원","9,900"
"수필, 영화를 탐하다",이대범 저,북스힐,2023년 12월 31일,"15,000원","14,250"
류니키친 솥밥 보양식,최윤정 저,용감한까치,2024년 01월 29일,"33,000원","29,700"
새나의 랜덤박스 3,김혜련 글/라임스튜디오 그림,겜툰,2024년 01월 17일,"12,000원","10,800"
하얀 일상 검은 휴가,김학민 저,BOOKK(부크크),2023년 12월 28일,"6,500원","6,500"
에그박사 1-10권 에그박사 채집일기 1-4권 세트,에그박사,아이세움(전집),2023년 06월 07일,"187,000원","168,300"
마흔에 글을 쓴다는 것,권수호 저,드림셀러,2024년 02월 05일,"16,800원","15,120"
인연,박광열 저,BOOKK(부크크),2024년 01월 08일,"18,500원","18,500"
인간 vs AI 창작시,이정섭 저,BOOKK(부크크),2023년 12월 29일,"5,500원","5,500"
이제 우리가 빛날 차례이다,"강희창, 김일곤, 박수인, 박태현, 박현아 저 외 5명 정보 더 보기/감추기",BOOKK(부크크),2024년 01월 03일,"12,000원","12,000"
열렬히 사랑했어요,김동현 저,BOOKK(부크크),2024년 01월 02일,"6,900원","6,900"
여전히 아픔의 틈에서 숨을 쉰다,솔함 저,BOOKK(부크크),2024년 01월 11일,"10,900원","10,900"
어쩌면 봄은 눈부실수도 있겠습니다.,홍하 저,BOOKK(부크크),2024년 01월 03일,"10,500원","10,500"
신의 밤바다 - 시선,김안 외 10명 저,BOOKK(부크크),2023년 12월 30일,"11,000원","11,000"
자꾸 생각나면 중독인가요?,김관욱 저/김예지 그림,풀빛,2024년 01월 19일,"13,000원","11,700"
부를 끌어당기는 글쓰기,부아c 저,황금부엉이,2024년 02월 14일,"19,800원","17,820"
식성이 바뀌었어 거짓말은 못 했지만,"서고, 이가하 저",BOOKK(부크크),2024년 01월 19일,"10,000원","10,000"
시선집 : 한 해를 돌아보는 시선,"정재운, 희망찬봄이네, 박예슬, 이세연, 송하주 저 외 3명 정보 더 보기/감추기",BOOKK(부크크),2023년 12월 31일,"8,300원","8,300"
식물로 보는 한국사 이야기 3,신현배 글/김규준 그림,뭉치,2024년 01월 25일,"15,000원","13,500"
詩를 부르는 독백,고옥귀 저,BOOKK(부크크),2024년 01월 03일,"12,000원","12,000"
시간과의 속삭임,한문선 저,BOOKK(부크크),2023년 12월 13일,"10,200원","10,200"
"셔터스피드, 17",김소희 저,BOOKK(부크크),2023년 12월 29일,"8,500원","8,500"
서생 바다 3,"이종무, 임도연, 김찬열, 조현진, 유도은 저 외 2명 정보 더 보기/감추기",BOOKK(부크크),2024년 01월 05일,"12,700원","12,700"
나다움으로 시작하는 퍼스널 브랜딩,마이크 김 저/이한이 역,현대지성,2024년 01월 29일,"16,900원","15,210"
새벽 세시,임현진 저,BOOKK(부크크),2024년 01월 05일,"15,800원","15,800"
살아지는 기억,정용호 저,BOOKK(부크크),2024년 01월 04일,"12,400원","12,400"
별은 하늘의 것이 아니다,이진무 저,BOOKK(부크크),2024년 01월 05일,"15,800원","15,800"
사물궁이의 찾아라! 궁금이 카드 2,아이들나라 원저/조영선 편/사물궁이 잡학지식 기획,아울북,2024년 01월 18일,"13,000원","11,700"
벨 훅스 같이 읽기,"김동진, 김미소, 김은지, 레일라, 오혜민 저 외 3명 정보 더 보기/감추기",동녘,2024년 01월 17일,"16,000원","14,400"
캐치티니핑 디저트샵만들기,편집부 저,도티도그,2024년 01월 17일,"14,000원","12,600"
미국에서 성공하는 리더의 마일스톤,김은성 저,마오르,2024년 01월 12일,"18,000원","16,200"
캐치티니핑 디저트샵계산놀이,편집부 저,도티도그,2024년 01월 17일,"16,000원","14,400"
2024 제과제빵기능사 & 산업기사 올인원 필기,파이팅혼공TV 컨텐츠 개발팀 저,지식오름,2024년 01월 30일,"22,000원","19,800"
헨리 나우웬의 주의 길을 내게 보이소서,헨리 나우웬 저/윤종석 역,두란노,2024년 01월 17일,"16,000원","15,200"
서울대 선정 한국문학고전 학습만화 보급판 세트 10권,채우리편집부,채우리,2017년 10월 25일,"78,000원","70,200"
2024 원큐패스 로더운전기능사 필기 빈출문제 10회,다락원아카데미 편,다락원,2024년 01월 10일,"14,000원","12,600"
2024 원큐패스 기중기운전기능사 필기 빈출문제 10회,다락원아카데미 편,다락원,2024년 01월 10일,"13,500원","12,150"
바퀴가 갖고 싶어!,로이비쥬얼 원저,로이북스,2023년 05월 10일,"13,000원","11,700"
따라 하며 배우는 언리얼 엔진 5 입문,쇼다 츠야노 저/김성훈 역,한빛미디어,2024년 01월 25일,"45,000원","40,500"
2024 원큐패스 굴착기운전기능사(굴삭기운전기능사) 필기 빈출문제 10회,다락원아카데미 편,다락원,2024년 01월 10일,"12,500원","11,250"
세상을 사랑하는 아이들,빛살반 아이들 글,BOOKK(부크크),2024년 01월 02일,"11,400원","11,400"
2024 원큐패스 지게차운전기능사 필기 빈출문제 10회,다락원아카데미 편,다락원,2024년 01월 10일,"12,500원","11,250"
별빛마을,김원민 저,BOOKK(부크크),2024년 01월 08일,"12,200원","12,200"
포근한 열한 살,김시헌 등저,BOOKK(부크크),2023년 12월 28일,"9,500원","9,500"
미니멀 라이프,박한뫼 저,BOOKK(부크크),2024년 01월 15일,"11,900원","11,900"
모험가의 시,모험제이 저,BOOKK(부크크),2024년 01월 05일,"9,600원","9,600"
2024 원큐패스 굴착기운전기능사 필기,다락원아카데미 편,다락원,2024년 01월 10일,"14,000원","12,600"
마담의 시집,장희선 저,BOOKK(부크크),2023년 12월 01일,"7,000원","7,000"
나의 가족 이야기,2023년 갈전초등학교 3학년 친구들 글,BOOKK(부크크),2023년 12월 19일,"10,200원","10,200"
녹슨 우리와 솟대,박성조 저,BOOKK(부크크),2024년 01월 12일,"9,800원","9,800"
너에게 쓰는 시,서기 저,BOOKK(부크크),2024년 01월 08일,"27,000원","27,000"
너도 꽃,나미래 저,BOOKK(부크크),2024년 01월 05일,"9,000원","9,000"
2024 원큐패스 지게차운전기능사 필기,다락원아카데미 편,다락원,2024년 01월 10일,"14,000원","12,600"
나비편지,나비 저,BOOKK(부크크),2024년 01월 08일,"13,000원","13,000"
나무 위,한규호 저,BOOKK(부크크),2024년 01월 02일,"9,000원","9,000"
하루에 3장씩 말씀 따라가기 4,박형대 저,그리심,2023년 12월 30일,"28,000원","28,000"
기다리고 섰으면 언제고 오는 것들,전남용 저,BOOKK(부크크),2024년 01월 08일,"11,500원","11,500"
하루에 3장씩 말씀 따라가기 3,박형대 저,그리심,2023년 12월 30일,"26,000원","26,000"
그루터기 (컬러판),이다윗 저,BOOKK(부크크),2024년 01월 03일,"10,000원","10,000"
하루에 3장씩 말씀 따라가기 2,박형대 저,그리심,2023년 12월 30일,"28,000원","28,000"
하루에 3장씩 말씀 따라가기 1,박형대 저,그리심,2023년 12월 30일,"27,000원","27,000"
그날의 따스한 바람,고선애 저,BOOKK(부크크),2024년 01월 08일,"12,400원","12,400"
취업하면 행복할 줄 알았는데,김보익 저,두드림미디어,2024년 01월 19일,"18,000원","16,200"
갈매,윤선강 저,BOOKK(부크크),2024년 01월 04일,"7,500원","7,500"
""" ""에 대하여",윤태건 저,BOOKK(부크크),2024년 01월 12일,"14,400원","14,400"
꿈을 거래합니다,서가숙 글/하꼬방 그림,고래책빵,2024년 01월 15일,"13,000원","11,700"
엄마와 함께 칼국수를,김곰치 저,한겨레출판,2024년 01월 20일,"15,000원","13,500"
오늘날 혁명은 왜 불가능한가,한병철 저,김영사,2024년 01월 17일,"16,800원","15,120"
4285km 세상에서 가장 아름다운 길 PCT를 걷다,"남난희, 정건 저",마인드큐브,2024년 02월 05일,"28,000원","25,200"
디자이닝 프로그램스,카를 게르스트너 저/박재용 역,안그라픽스,2024년 01월 17일,"25,000원","23,750"
"병인양요, 일명 한장군전",송헌석 저/이민희 역,지만지한국문학,2024년 01월 19일,"16,800원","16,800"
멘토들과 함께하는 인생 여정,"김영기, 추창엽, 조대석, 이한규, 김병철 저 외 4명 정보 더 보기/감추기",브레인플랫폼,2024년 01월 18일,"15,000원","13,500"
"병인양요, 일명 한장군전 (큰글자책)",송헌석 저/이민희 역,커뮤니케이션북스,2024년 01월 19일,"36,000원","36,000"
살해되려는 욕구,박준하 저,BOOKK(부크크),2024년 01월 19일,"8,500원","8,500"
개혁신앙으로 시대읽기,황원하 등저,담북,2024년 01월 16일,"18,000원","17,100"
"딸아, 너는 금융 부자로 살아라!",김한별 저,두드림미디어,2024년 01월 15일,"19,000원","17,100"
생물을 알면 삶이 달라진다,허점이 저,호이테북스,2024년 01월 20일,"18,000원","16,200"
장애인차별금지 및 권리구제 등에 관한 법률 (약칭 : 장애인차별금지법),편집부 저,해광,2024년 01월 09일,"10,000원","10,000"
바로 본 대한민국 정사(正史),박석흥 저,글방과책방,2023년 12월 28일,"23,000원","21,850"
2024 시험전엔 기타세법,양소영 저,스케치스,2024년 01월 25일,"24,000원","21,600"
새벽과 음악,이제니 저,시간의흐름,2024년 01월 25일,"18,000원","16,200"
나는 이 커뮤니티로 연봉 1억이 되었다,"박소정, 박서인 저",떠오름,2024년 01월 19일,"17,600원","15,840"
너무 쉬워 놓쳐버린 삶의 다섯 가지 비밀,존 이조 저/박윤정 역,문예춘추사,2024년 02월 15일,"16,800원","15,120"
헌법 1개년 최신판례,강성민 편저,필통북스,2024년 01월 22일,"12,000원","11,400"
천년학 어머니,태종호 저,한누리미디어,2024년 01월 05일,"12,000원","11,400"
시티 앤 더 클래식,정재윤 저,책과나무,2023년 01월 22일,"18,000원","16,200"
Turning Points Global Agenda 2024,편집부 저,뉴스1,2024년 01월 02일,"35,000원","31,500"
울말섬 찬가,최화웅 저,육일문화사,2023년 11월 30일,"30,000원","28,500"
길은 멀어도,조원제 저,육일문화사,2023년 12월 15일,"15,000원","14,250"
